,id,hit,name,countries
999,24967710, kid\'?s? ,adsquare data alliance > de > covid-19 audiences (corona pandemic) > covid-19 habitation &amp; household > parents with kindergarden kids at home ,['germany']
407,15102574, kid\'?s? ,branded data > nordic data resources > denmark > interests > interested in kids (power reach) ,['denmark']
199,11154300, kid\'?s? ,branded data > nordic data resources > denmark > interests > interested in kids (super target) ,['denmark']
209,11154842, kid\'?s? ,branded data > nordic data resources > denmark > life phases > couples with kids (power reach) ,['denmark']
183,11153254, kid\'?s? ,branded data > nordic data resources > denmark > life phases > couples with kids (super target) ,['denmark']
235,11157485, kid\'?s? ,"branded data > nordic data resources > denmark > life phases > couples, no kids (power reach) ",['denmark']
193,11153799, kid\'?s? ,"branded data > nordic data resources > denmark > life phases > couples, no kids (super target) ",['denmark']
205,11154630, kid\'?s? ,branded data > nordic data resources > denmark > life phases > families with teen-age kids ,['denmark']
238,11152966, kid\'?s? ,branded data > nordic data resources > denmark > life phases > families with young kids ,['denmark']
213,11154921, kid\'?s? ,branded data > nordic data resources > denmark > life phases > older couples with no kids living at home ,['denmark']
186,11153602, kid\'?s? ,branded data > nordic data resources > denmark > life phases > singles & young couples w/o kids ,['denmark']
215,11155008, kid\'?s? ,branded data > nordic data resources > denmark > life phases > singles with kids (power reach) ,['denmark']
224,11156318, kid\'?s? ,branded data > nordic data resources > denmark > life phases > singles with kids (super target) ,['denmark']
217,11155090, kid\'?s? ,"branded data > nordic data resources > denmark > life phases > singles, no kids (power reach) ",['denmark']
189,11153688, kid\'?s? ,"branded data > nordic data resources > denmark > life phases > singles, no kids (super target) ",['denmark']
120,8013352, kid\'?s? ,branded data > nordic data resources > denmark > power reach > life phases > older couples & seniors > older couples with no kids living at home ,['denmark']
97,8012503, kid\'?s? ,branded data > nordic data resources > denmark > power reach > life phases > singles & young couples w/o kids ,['denmark']
99,8012525, kid\'?s? ,branded data > nordic data resources > denmark > super target > family & parenting > kids toys ,['denmark']
101,8012547, kid\'?s? ,branded data > nordic data resources > denmark > super target > shopping > kids toys ,['denmark']
192,11153798, kid\'?s? ,branded data > nordic data resources > germany > life phases > families with teen-age kids (super target) ,['germany']
208,11154821, kid\'?s? ,branded data > nordic data resources > germany > life phases > families with toddlers or young kids (super target) ,['germany']
227,11156453, kid\'?s? ,branded data > nordic data resources > germany > life phases > older couples with no kids living at home (super target) ,['germany']
